"ID","PHISH_URL","ADDITIONAL_INFO"
"8462309","http://account.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/Ch...","added on Feb 21st 2024 9:02 PM by cleanmx INVALID Offline"
"8462308","https://account.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/e...","added on Feb 21st 2024 9:01 PM by cleanmx INVALID Offline"
"8462307","http://account.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/Ch...","added on Feb 21st 2024 9:01 PM by cleanmx INVALID Offline"
"8449559","https://www.mavia.com/","added on Feb 12th 2024 4:22 AM by Felix0101 INVALID Offline"
"8436381","https://credinetweb.bcp.com.bo/#/login","added on Jan 31st 2024 3:43 PM by voldemor INVALID Offline"
"8434045","https://login.live.com.office.ausunitypreprod.australianunity1.myshn.n...","added on Jan 30th 2024 9:03 AM by cleanmx INVALID Offline"
"8434044","https://login.live.com.office.ausunitypreprod.australianunity1.myshn.n...","added on Jan 30th 2024 9:03 AM by cleanmx INVALID Offline"
"8434042","http://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/logi...","added on Jan 30th 2024 9:03 AM by cleanmx INVALID Offline"
"8434041","http://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/logi...","added on Jan 30th 2024 9:03 AM by cleanmx INVALID Offline"
"8433471","https://www.rakuten.co.jp/sitemap/sp/app.html","added on Jan 29th 2024 8:51 PM by buaya INVALID Offline"
"8431666","http://www-test.mybrt.it","added on Jan 28th 2024 8:08 AM by D3Lab INVALID Offline"
"8424658","https://www.hopp.bio/opennewmessg","added on Jan 23rd 2024 5:43 PM by verifrom INVALID Offline"
"8421653","https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/oau...","added on Jan 15th 2024 1:07 AM by cleanmx INVALID Offline"
"8421652","https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/oau...","added on Jan 15th 2024 1:07 AM by cleanmx INVALID Offline"
"8421651","https://login.live.com.office.urgo-prod1.laboratoiresurgo.myshn.eu/Me....","added on Jan 15th 2024 1:07 AM by cleanmx INVALID Offline"
